AB High Yield Portfolio Advisor Class ,(HIYYX),+8.30%,Year-to-Date,High yield bond,Style or Category,Above Average,Morningstar Risk Rating™
AB High Yield Portfolio Class A ,(HIYAX),+8.30%,Year-to-Date,High yield bond,Style or Category,Above Average,Morningstar Risk Rating™
AB High Yield Portfolio Class C ,(HIYCX),+8.30%,Year-to-Date,High yield bond,Style or Category,Above Average,Morningstar Risk Rating™
AB High Yield Portfolio Class I ,(HIYIX),+8.30%,Year-to-Date,High yield bond,Style or Category,Above Average,Morningstar Risk Rating™
AB High Yield Portfolio Class K ,(HIYKX),+8.30%,Year-to-Date,High yield bond,Style or Category,Above Average,Morningstar Risk Rating™
AB High Yield Portfolio Class R ,(HIYRX),+8.30%,Year-to-Date,High yield bond,Style or Category,Above Average,Morningstar Risk Rating™
AB High Yield Portfolio Class Z ,(HIYZX),+8.19%,Year-to-Date,High yield bond,Style or Category,Above Average,Morningstar Risk Rating™
AB Income Fund Advisor Class ,(ACGYX),--,Year-to-Date,Intermediate-term bond,Style or Category,High,Morningstar Risk Rating™
AB Income Fund Class A ,(AKGAX),--,Year-to-Date,Intermediate-term bond,Style or Category,High,Morningstar Risk Rating™
AB Income Fund Class C ,(AKGCX),--,Year-to-Date,Intermediate-term bond,Style or Category,High,Morningstar Risk Rating™
AB Intermediate Bond Portfolio Advisor Class ,(ABQYX),+4.16%,Year-to-Date,Intermediate-term bond,Style or Category,Above Average,Morningstar Risk Rating™
AB Intermediate Bond Portfolio Class A ,(ABQUX),+4.07%,Year-to-Date,Intermediate-term bond,Style or Category,Above Average,Morningstar Risk Rating™
AB Intermediate Bond Portfolio Class B ,(ABQBX),+4.16%,Year-to-Date,Intermediate-term bond,Style or Category,Above Average,Morningstar Risk Rating™
AB Intermediate Bond Portfolio Class C ,(ABQCX),+4.07%,Year-to-Date,Intermediate-term bond,Style or Category,Above Average,Morningstar Risk Rating™
AB Intermediate Bond Portfolio Class I ,(ABQIX),+4.06%,Year-to-Date,Intermediate-term bond,Style or Category,Above Average,Morningstar Risk Rating™
AB Intermediate Bond Portfolio Class K ,(ABQKX),+4.06%,Year-to-Date,Intermediate-term bond,Style or Category,Above Average,Morningstar Risk Rating™
AB Intermediate Bond Portfolio Class R ,(ABQRX),+4.07%,Year-to-Date,Intermediate-term bond,Style or Category,Above Average,Morningstar Risk Rating™
AB Intermediate Bond Portfolio Class Z ,(ABQZX),+4.15%,Year-to-Date,Intermediate-term bond,Style or Category,Above Average,Morningstar Risk Rating™
AB Limited Duration High Income Portfolio Advisor Class ,(ALHYX),+4.49%,Year-to-Date,High yield bond,Style or Category,Low,Morningstar Risk Rating™
AB Limited Duration High Income Portfolio Class A ,(ALHAX),+4.58%,Year-to-Date,High yield bond,Style or Category,Low,Morningstar Risk Rating™
AB Limited Duration High Income Portfolio Class C ,(ALHCX),+4.48%,Year-to-Date,High yield bond,Style or Category,Low,Morningstar Risk Rating™
AB Limited Duration High Income Portfolio Class I ,(ALIHX),+4.58%,Year-to-Date,High yield bond,Style or Category,Low,Morningstar Risk Rating™
AB Limited Duration High Income Portfolio Class K ,(ALHKX),+4.58%,Year-to-Date,High yield bond,Style or Category,Low,Morningstar Risk Rating™
AB Limited Duration High Income Portfolio Class R ,(ALHRX),+4.58%,Year-to-Date,High yield bond,Style or Category,Low,Morningstar Risk Rating™
AB Municipal Bond Inflation Strategy Advisor Class ,(AUNYX),+0.69%,Year-to-Date,Muni national short,Style or Category,High,Morningstar Risk Rating™
AB Municipal Bond Inflation Strategy Class 1 ,(AUNOX),+0.59%,Year-to-Date,Muni national short,Style or Category,High,Morningstar Risk Rating™
AB Municipal Bond Inflation Strategy Class 2 ,(AUNTX),+0.49%,Year-to-Date,Muni national short,Style or Category,High,Morningstar Risk Rating™
AB Municipal Bond Inflation Strategy Class A ,(AUNAX),+0.59%,Year-to-Date,Muni national short,Style or Category,High,Morningstar Risk Rating™
AB Municipal Bond Inflation Strategy Class C ,(AUNCX),+0.59%,Year-to-Date,Muni national short,Style or Category,High,Morningstar Risk Rating™
AB Tax-Aware Fixed Income Portfolio Advisor Class ,(ATTYX),+2.81%,Year-to-Date,Intermediate-term bond,Style or Category,--,Morningstar Risk Rating™
AB Tax-Aware Fixed Income Portfolio Class A ,(ATTAX),+2.81%,Year-to-Date,Intermediate-term bond,Style or Category,--,Morningstar Risk Rating™
AB Tax-Aware Fixed Income Portfolio Class C ,(ATCCX),+2.81%,Year-to-Date,Intermediate-term bond,Style or Category,--,Morningstar Risk Rating™
AB All Market Alternative Return Portfolio Advisor Class ,(AARYX),+5.89%,Year-to-Date,Multialternative,Style or Category,--,Morningstar Risk Rating™
AB All Market Alternative Return Portfolio Class A ,(AARAX),+5.69%,Year-to-Date,Multialternative,Style or Category,--,Morningstar Risk Rating™
AB All Market Alternative Return Portfolio Class C ,(AARCX),+5.20%,Year-to-Date,Multialternative,Style or Category,--,Morningstar Risk Rating™
AB All Market Income Portfolio Advisor Class ,(MRKYX),+6.79%,Year-to-Date,Allocation--30% to 50% equity,Style or Category,--,Morningstar Risk Rating™
AB All Market Income Portfolio Class A ,(MRKAX),+6.68%,Year-to-Date,Allocation--30% to 50% equity,Style or Category,--,Morningstar Risk Rating™
AB All Market Income Portfolio Class C ,(MRKCX),+6.79%,Year-to-Date,Allocation--30% to 50% equity,Style or Category,--,Morningstar Risk Rating™
AB Asia ex-Japan Equity Portfolio Advisor Class ,(AXJYX),+15.46%,Year-to-Date,Pacific/asia ex-japan stk,Style or Category,--,Morningstar Risk Rating™
AB Asia ex-Japan Equity Portfolio Class A ,(AXJAX),+15.25%,Year-to-Date,Pacific/asia ex-japan stk,Style or Category,--,Morningstar Risk Rating™
AB Asia ex-Japan Equity Portfolio Class C ,(AXJCX),+14.63%,Year-to-Date,Pacific/asia ex-japan stk,Style or Category,--,Morningstar Risk Rating™
AB Concentrated Growth Fund Advisor Class ,(WPSGX),+3.29%,Year-to-Date,Large growth,Style or Category,Average,Morningstar Risk Rating™
AB Concentrated Growth Fund Class A ,(WPASX),+3.12%,Year-to-Date,Large growth,Style or Category,Average,Morningstar Risk Rating™
AB Concentrated Growth Fund Class C ,(WPCSX),+2.57%,Year-to-Date,Large growth,Style or Category,Average,Morningstar Risk Rating™
AB Concentrated Growth Fund Class I ,(WPSIX),+3.33%,Year-to-Date,Large growth,Style or Category,Average,Morningstar Risk Rating™
AB Concentrated Growth Fund Class K ,(WPSKX),+3.12%,Year-to-Date,Large growth,Style or Category,Average,Morningstar Risk Rating™
AB Concentrated Growth Fund Class R ,(WPRSX),+2.92%,Year-to-Date,Large growth,Style or Category,Average,Morningstar Risk Rating™
AB Concentrated Growth Fund Class Z ,(WPSZX),+3.33%,Year-to-Date,Large growth,Style or Category,Average,Morningstar Risk Rating™
AB Concentrated International Growth Portfolio Advisor Class ,(CIGYX),+0.43%,Year-to-Date,Foreign large growth,Style or Category,--,Morningstar Risk Rating™
AB Concentrated International Growth Portfolio Class A ,(CIAGX),+0.22%,Year-to-Date,Foreign large growth,Style or Category,--,Morningstar Risk Rating™
AB Concentrated International Growth Portfolio Class C ,(CICGX),-0.44%,Year-to-Date,Foreign large growth,Style or Category,--,Morningstar Risk Rating™
AB Emerging Markets Core Portfolio Advisor Class ,(EMPYX),+14.66%,Year-to-Date,Diversified emerging mkts,Style or Category,--,Morningstar Risk Rating™
AB Emerging Markets Core Portfolio Class A ,(EMPAX),+14.34%,Year-to-Date,Diversified emerging mkts,Style or Category,--,Morningstar Risk Rating™
AB Emerging Markets Core Portfolio Class C ,(EMPCX),+13.74%,Year-to-Date,Diversified emerging mkts,Style or Category,--,Morningstar Risk Rating™
AB Emerging Markets Growth Portfolio Advisor Class ,(EGPYX),+16.85%,Year-to-Date,Diversified emerging mkts,Style or Category,--,Morningstar Risk Rating™
AB Emerging Markets Growth Portfolio Class A ,(EGPAX),+16.61%,Year-to-Date,Diversified emerging mkts,Style or Category,--,Morningstar Risk Rating™
AB Emerging Markets Growth Portfolio Class C ,(EGPCX),+16.02%,Year-to-Date,Diversified emerging mkts,Style or Category,--,Morningstar Risk Rating™
AB Emerging Markets Multi-Asset Portfolio Advisor Class ,(ABYEX),+14.38%,Year-to-Date,Diversified emerging mkts,Style or Category,Low,Morningstar Risk Rating™
AB Emerging Markets Multi-Asset Portfolio Class A ,(ABAEX),+14.27%,Year-to-Date,Diversified emerging mkts,Style or Category,Low,Morningstar Risk Rating™
AB Emerging Markets Multi-Asset Portfolio Class C ,(ABCEX),+14.16%,Year-to-Date,Diversified emerging mkts,Style or Category,Low,Morningstar Risk Rating™
AB Emerging Markets Multi-Asset Portfolio Class I ,(ABIEX),+14.20%,Year-to-Date,Diversified emerging mkts,Style or Category,Low,Morningstar Risk Rating™
AB Emerging Markets Multi-Asset Portfolio Class K ,(ABKEX),+14.47%,Year-to-Date,Diversified emerging mkts,Style or Category,Low,Morningstar Risk Rating™
AB Emerging Markets Multi-Asset Portfolio Class R ,(ABREX),+14.32%,Year-to-Date,Diversified emerging mkts,Style or Category,Low,Morningstar Risk Rating™
AB Global Core Equity Portfolio Advisor Class ,(GCEYX),+8.53%,Year-to-Date,World stock,Style or Category,--,Morningstar Risk Rating™
AB Global Core Equity Portfolio Class A ,(GCEAX),+8.33%,Year-to-Date,World stock,Style or Category,--,Morningstar Risk Rating™
AB Global Core Equity Portfolio Class C ,(GCECX),+7.81%,Year-to-Date,World stock,Style or Category,--,Morningstar Risk Rating™
AB International Strategic Core Portfolio Advisor Class ,(ISRYX),+5.25%,Year-to-Date,Foreign large blend,Style or Category,--,Morningstar Risk Rating™
AB International Strategic Core Portfolio Class A ,(ISARX),+5.15%,Year-to-Date,Foreign large blend,Style or Category,--,Morningstar Risk Rating™
AB International Strategic Core Portfolio Class C ,(ISCRX),+4.53%,Year-to-Date,Foreign large blend,Style or Category,--,Morningstar Risk Rating™
AB Long/Short Multi-Manager Fund Advisor Class ,(LSYMX),-1.78%,Year-to-Date,Long-short equity,Style or Category,--,Morningstar Risk Rating™
AB Long/Short Multi-Manager Fund Class A ,(LSAMX),-1.98%,Year-to-Date,Long-short equity,Style or Category,--,Morningstar Risk Rating™
AB Long/Short Multi-Manager Fund Class C ,(LSCMX),-2.40%,Year-to-Date,Long-short equity,Style or Category,--,Morningstar Risk Rating™
AB Long/Short Multi-Manager Fund Class I ,(LSIMX),-1.78%,Year-to-Date,Long-short equity,Style or Category,--,Morningstar Risk Rating™
AB Long/Short Multi-Manager Fund Class K ,(LSKMX),-1.98%,Year-to-Date,Long-short equity,Style or Category,--,Morningstar Risk Rating™
AB Long/Short Multi-Manager Fund Class R ,(LSRMX),-2.09%,Year-to-Date,Long-short equity,Style or Category,--,Morningstar Risk Rating™
AB Long/Short Multi-Manager Fund Class Z ,(LSZMX),-1.78%,Year-to-Date,Long-short equity,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Alternative Strategies Fund Advisor Class ,(ALTYX),+0.61%,Year-to-Date,Multialternative,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Alternative Strategies Fund Class A ,(ALATX),+0.41%,Year-to-Date,Multialternative,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Alternative Strategies Fund Class C ,(ALCTX),-0.10%,Year-to-Date,Multialternative,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Alternative Strategies Fund Class I ,(ALTIX),+0.61%,Year-to-Date,Multialternative,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Alternative Strategies Fund Class K ,(ALTKX),+0.41%,Year-to-Date,Multialternative,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Alternative Strategies Fund Class R ,(ALTRX),+0.31%,Year-to-Date,Multialternative,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Alternative Strategies Fund Class Z ,(ALTZX),+0.61%,Year-to-Date,Multialternative,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2010 Fund Advisor Class ,(TDBYX),+6.17%,Year-to-Date,Target-date 2000-2010,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2010 Fund Class C ,(TDBCX),+5.50%,Year-to-Date,Target-date 2000-2010,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2010 Fund Class I ,(TDIBX),+6.10%,Year-to-Date,Target-date 2000-2010,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2010 Fund Class K ,(TDBKX),+5.91%,Year-to-Date,Target-date 2000-2010,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2010 Fund Class R ,(TDBRX),+5.82%,Year-to-Date,Target-date 2000-2010,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2010 Fund Class Z ,(TDBZX),+6.10%,Year-to-Date,Target-date 2000-2010,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2015 Fund Advisor Class ,(TDCYX),+6.63%,Year-to-Date,Target-date 2015,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2015 Fund Class C ,(TDCCX),+5.82%,Year-to-Date,Target-date 2015,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2015 Fund Class I ,(TDCIX),+6.63%,Year-to-Date,Target-date 2015,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2015 Fund Class K ,(TDCKX),+6.42%,Year-to-Date,Target-date 2015,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2015 Fund Class R ,(TDCRX),+6.23%,Year-to-Date,Target-date 2015,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2015 Fund Class Z ,(TDCZX),+6.63%,Year-to-Date,Target-date 2015,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2020 Fund Advisor Class ,(TDDYX),+6.60%,Year-to-Date,Target-date 2020,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2020 Fund Class A ,(TDDAX),+6.52%,Year-to-Date,Target-date 2020,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2020 Fund Class C ,(TDDCX),+5.94%,Year-to-Date,Target-date 2020,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2020 Fund Class I ,(TDDIX),+6.63%,Year-to-Date,Target-date 2020,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2020 Fund Class K ,(TDDKX),+6.42%,Year-to-Date,Target-date 2020,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2020 Fund Class R ,(TDDRX),+6.24%,Year-to-Date,Target-date 2020,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2020 Fund Class Z ,(TDDZX),+6.63%,Year-to-Date,Target-date 2020,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2025 Fund Advisor Class ,(TDGYX),+6.69%,Year-to-Date,Target-date 2025,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2025 Fund Class A ,(TDAGX),+6.41%,Year-to-Date,Target-date 2025,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2025 Fund Class C ,(TDCGX),+5.92%,Year-to-Date,Target-date 2025,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2025 Fund Class I ,(TDIGX),+6.61%,Year-to-Date,Target-date 2025,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2025 Fund Class K ,(TDGKX),+6.52%,Year-to-Date,Target-date 2025,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2025 Fund Class R ,(TDGRX),+6.22%,Year-to-Date,Target-date 2025,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2025 Fund Class Z ,(TDGZX),+6.61%,Year-to-Date,Target-date 2025,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2030 Fund Advisor Class ,(TDYHX),+6.86%,Year-to-Date,Target-date 2030,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2030 Fund Class A ,(TDHAX),+5.99%,Year-to-Date,Target-date 2030,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2030 Fund Class C ,(TDHCX),+6.89%,Year-to-Date,Target-date 2030,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2030 Fund Class I ,(TDIHX),+6.59%,Year-to-Date,Target-date 2030,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2030 Fund Class K ,(TDHKX),+6.40%,Year-to-Date,Target-date 2030,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2030 Fund Class R ,(TDHRX),+6.78%,Year-to-Date,Target-date 2030,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2030 Fund Class Z ,(TDHZX),+6.58%,Year-to-Date,Target-date 2030,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2035 Fund Advisor Class ,(TDMYX),+6.64%,Year-to-Date,Target-date 2035,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2035 Fund Class A ,(TDMAX),+6.48%,Year-to-Date,Target-date 2035,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2035 Fund Class C ,(TDMCX),+6.00%,Year-to-Date,Target-date 2035,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2035 Fund Class I ,(TDIMX),+6.69%,Year-to-Date,Target-date 2035,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2035 Fund Class K ,(TDMKX),+6.60%,Year-to-Date,Target-date 2035,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2035 Fund Class R ,(TDRMX),+6.40%,Year-to-Date,Target-date 2035,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2035 Fund Class Z ,(TDMZX),+6.79%,Year-to-Date,Target-date 2035,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2040 Fund Advisor Class ,(TDJYX),+6.67%,Year-to-Date,Target-date 2040,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2040 Fund Class A ,(TDJAX),+6.51%,Year-to-Date,Target-date 2040,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2040 Fund Class C ,(TDJCX),+5.91%,Year-to-Date,Target-date 2040,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2040 Fund Class I ,(TDJIX),+6.72%,Year-to-Date,Target-date 2040,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2040 Fund Class K ,(TDJKX),+6.52%,Year-to-Date,Target-date 2040,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2040 Fund Class R ,(TDJRX),+6.33%,Year-to-Date,Target-date 2040,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2040 Fund Class Z ,(TDJZX),+6.61%,Year-to-Date,Target-date 2040,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2045 Fund Advisor Class ,(TDNYX),+6.63%,Year-to-Date,Target-date 2045,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2045 Fund Class A ,(TDNAX),+6.49%,Year-to-Date,Target-date 2045,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2045 Fund Class C ,(TDNCX),+5.85%,Year-to-Date,Target-date 2045,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2045 Fund Class I ,(TDNIX),+6.70%,Year-to-Date,Target-date 2045,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2045 Fund Class K ,(TDNKX),+6.50%,Year-to-Date,Target-date 2045,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2045 Fund Class R ,(TDNRX),+6.21%,Year-to-Date,Target-date 2045,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2045 Fund Class Z ,(TDNZX),+6.70%,Year-to-Date,Target-date 2045,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2050 Fund Advisor Class ,(TDLYX),+6.79%,Year-to-Date,Target-date 2050,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2050 Fund Class A ,(TDLAX),+6.55%,Year-to-Date,Target-date 2050,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2050 Fund Class C ,(TDCLX),+6.05%,Year-to-Date,Target-date 2050,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2050 Fund Class I ,(TDLIX),+6.91%,Year-to-Date,Target-date 2050,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2050 Fund Class K ,(TDLKX),+6.62%,Year-to-Date,Target-date 2050,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2050 Fund Class R ,(TDLRX),+6.42%,Year-to-Date,Target-date 2050,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2050 Fund Class Z ,(TDLZX),+6.80%,Year-to-Date,Target-date 2050,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2055 Fund Advisor Class ,(TDPYX),+6.85%,Year-to-Date,Target-date 2055,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2055 Fund Class A ,(TDAPX),+6.62%,Year-to-Date,Target-date 2055,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2055 Fund Class C ,(TDCPX),+6.14%,Year-to-Date,Target-date 2055,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2055 Fund Class I ,(TDIPX),+6.95%,Year-to-Date,Target-date 2055,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2055 Fund Class K ,(TDPKX),+6.65%,Year-to-Date,Target-date 2055,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2055 Fund Class R ,(TDPRX),+6.55%,Year-to-Date,Target-date 2055,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select 2055 Fund Class Z ,(TDPZX),+6.85%,Year-to-Date,Target-date 2055,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select Retirement Allocation Fund Advisor Class ,(TDAYX),+5.13%,Year-to-Date,Target-date retirement,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select Retirement Allocation Fund Class A ,(TDAAX),+5.05%,Year-to-Date,Target-date retirement,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select Retirement Allocation Fund Class C ,(TDACX),+4.37%,Year-to-Date,Target-date retirement,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select Retirement Allocation Fund Class I ,(TDAIX),+5.15%,Year-to-Date,Target-date retirement,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select Retirement Allocation Fund Class K ,(TDAKX),+4.96%,Year-to-Date,Target-date retirement,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select Retirement Allocation Fund Class R ,(TDARX),+4.76%,Year-to-Date,Target-date retirement,Style or Category,--,Morningstar Risk Rating™
AB Multi-Manager Select Retirement Allocation Fund Class Z ,(TDAZX),+5.15%,Year-to-Date,Target-date retirement,Style or Category,--,Morningstar Risk Rating™
AB Select US Equity Portfolio Advisor Class ,(AUUYX),+4.70%,Year-to-Date,Large growth,Style or Category,Low,Morningstar Risk Rating™
AB Select US Equity Portfolio Class A ,(AUUAX),+4.50%,Year-to-Date,Large growth,Style or Category,Low,Morningstar Risk Rating™
AB Select US Equity Portfolio Class C ,(AUUCX),+3.92%,Year-to-Date,Large growth,Style or Category,Low,Morningstar Risk Rating™
AB Select US Equity Portfolio Class I ,(AUUIX),+4.74%,Year-to-Date,Large growth,Style or Category,Low,Morningstar Risk Rating™
AB Select US Equity Portfolio Class K ,(AUUKX),+4.47%,Year-to-Date,Large growth,Style or Category,Low,Morningstar Risk Rating™
AB Select US Equity Portfolio Class R ,(AUURX),+4.28%,Year-to-Date,Large growth,Style or Category,Low,Morningstar Risk Rating™
AB Select US Long/Short Portfolio Advisor Class ,(ASYLX),+2.63%,Year-to-Date,Long-short equity,Style or Category,Below Average,Morningstar Risk Rating™
AB Select US Long/Short Portfolio Class A ,(ASLAX),+2.48%,Year-to-Date,Long-short equity,Style or Category,Below Average,Morningstar Risk Rating™
AB Select US Long/Short Portfolio Class C ,(ASCLX),+1.90%,Year-to-Date,Long-short equity,Style or Category,Below Average,Morningstar Risk Rating™
AB Select US Long/Short Portfolio Class I ,(ASILX),+2.63%,Year-to-Date,Long-short equity,Style or Category,Below Average,Morningstar Risk Rating™
AB Select US Long/Short Portfolio Class K ,(ASLKX),+2.48%,Year-to-Date,Long-short equity,Style or Category,Below Average,Morningstar Risk Rating™
AB Select US Long/Short Portfolio Class R ,(ASRLX),+2.32%,Year-to-Date,Long-short equity,Style or Category,Below Average,Morningstar Risk Rating™
AB Small Cap Growth Portfolio Advisor Class ,(QUAYX),+3.68%,Year-to-Date,Small growth,Style or Category,High,Morningstar Risk Rating™
